Host Name,Entire home/apts,Private rooms,Shared rooms,Hotel Rooms,Total Listings
Howard,6,0,3,0,9
Lolita,0,0,9,0,9
Fabio,2,2,5,0,9
Chad,5,0,4,0,9
Alfredo,7,0,2,0,9
Sergi,0,0,6,3,9
Alexandre,7,0,2,0,9
Mercedes,4,0,5,0,9
Izi,9,0,0,0,9
Stacy,4,0,5,0,9
Nice Stay NYC,9,0,0,0,9
Jonatah,0,0,9,0,9
Abigail,4,0,5,0,9
Aron,9,0,0,0,9
Moshe,4,0,5,0,9
Arian,4,0,5,0,9
Renata,8,0,1,0,9
Desmond,2,0,7,0,9
Tal,6,0,3,0,9
Zuleyka,4,0,5,0,9
Deena,5,0,4,0,9
NoMo SoHo,0,0,9,0,9
Rina,8,0,1,0,9
T,4,0,5,0,9
Dean,7,0,2,0,9
Dena,8,0,1,0,9
Monique,7,0,2,0,9
Freddy,5,0,4,0,9
Donald,2,0,6,0,8
Gaby,7,0,1,0,8
Yuan,2,0,5,1,8
Medelene,2,0,6,0,8
Zain,7,0,1,0,8
Luz,2,0,6,0,8
Eden,4,0,4,0,8
Gerard,2,0,6,0,8
Ricky,3,0,5,0,8
Nissim,8,0,0,0,8
Lyn,0,0,8,0,8
Wei,4,0,4,0,8
Alvaro,4,0,4,0,8
Ahnaf,2,0,6,0,8
Laurence,4,0,4,0,8
Ava,7,0,1,0,8
Vic,1,0,7,0,8
Latoya,3,0,5,0,8
Nathalie,5,0,3,0,8
Kai,6,0,2,0,8
Glenn,7,0,1,0,8
Ming,3,0,5,0,8
Fei,8,0,0,0,8
Vickie,2,0,6,0,8
Sidney,5,0,3,0,8
Curtis,7,0,1,0,8
Rodney,6,0,2,0,8
Celina,3,0,3,2,8
Abraham,8,0,0,0,8
Churchill,8,0,0,0,8
Harry,4,0,4,0,8
Niki,3,0,3,2,8
Petra,3,0,5,0,8
Ruth And Fran,0,0,8,0,8
Elaine,7,0,1,0,8
John J.,0,0,0,8,8
JG Sohotel,0,0,8,0,8
Wanda,3,0,5,0,8
Guseyn,0,0,8,0,8
SharedEasy Coliving,0,0,4,4,8
Gillian,3,0,5,0,8
Ilya,5,0,3,0,8
Alisha,6,0,2,0,8
Piero,2,0,6,0,8
Pete,6,0,2,0,8
Don,5,0,3,0,8
JooltLuxe,8,0,0,0,8
Krzysztof,7,0,1,0,8
Millennium Broadway,0,0,8,0,8
Jasmin,7,0,1,0,8
G,4,0,4,0,8
Dimitri,5,0,3,0,8
Lu,4,0,4,0,8
Shay,3,0,5,0,8
Helena,3,0,5,0,8
Meghan,6,0,2,0,8
Kelsey,6,0,2,0,8
Olu,4,0,4,0,8
Marcos,3,1,4,0,8
Roland,1,0,7,0,8
Harold,6,0,2,0,8
Dina,6,0,2,0,8
Kieu,2,0,6,0,8
Marcus,4,0,4,0,8
Bing,1,0,7,0,8
Alessandro,1,0,7,0,8
Boris,3,0,5,0,8
Magda,3,0,5,0,8
Brendan,6,0,2,0,8
Krista,3,0,5,0,8
Joanne,7,0,1,0,8
Fiona,2,0,6,0,8
Xavier,1,0,5,2,8
Dane,4,0,4,0,8
Briana,6,0,2,0,8
Viviana,2,0,6,0,8
Zoe,3,0,5,0,8
Kalia,5,0,3,0,8
Reservations,8,0,0,0,8
Madison,6,0,2,0,8
Rebekah,4,0,4,0,8
Franklin,5,0,3,0,8
Gene,4,0,4,0,8
Ash,6,0,2,0,8
Telmo,8,0,0,0,8
Jocelyn,4,0,3,1,8
Ivy,3,0,5,0,8
Hamza,7,0,1,0,8
Dariia & Jacob,0,0,8,0,8
Noelle,5,0,3,0,8
Dario,1,0,6,1,8
Ruby,6,0,2,0,8
Antoinette,4,0,4,0,8
Priscilla,5,0,3,0,8
Brad And Sarah,8,0,0,0,8
Ted,7,0,1,0,8
Priscila,3,0,4,1,8
Hila,8,0,0,0,8
Lenny,7,0,1,0,8
Roy,5,0,3,0,8
April,2,0,6,0,8
Lilian,4,0,4,0,8
Janice,5,0,3,0,8
Adrien,4,0,4,0,8
Mac,2,0,6,0,8
Haffro,0,0,8,0,8
Katia,3,0,5,0,8
Xin,1,0,7,0,8
Kristina & Vlada,0,0,8,0,8
Alejandra,5,0,3,0,8
Amalia,6,0,2,0,8
The Frederick Hotel,0,0,8,0,8
Marisa,6,0,2,0,8
Ori,7,0,1,0,8
Kristy,2,0,6,0,8
Kaitlyn,7,0,1,0,8
Marjorie,4,0,4,0,8
Erik,5,0,3,0,8
Roberta,6,0,2,0,8
Alfred,7,0,1,0,8
Duane,7,0,1,0,8
Amiee,0,0,8,0,8
Jenn,5,0,3,0,8
Doris,5,0,3,0,8
Roberto,5,0,3,0,8
George Steven,8,0,0,0,8
